zip_code,january,february,march,april,may,june,july,august,september,october,november,december
01001,-1,14,46,23,26,62,36,52,43,52,31,-1
01007,-1,24,30,40,38,70,15,53,39,34,23,-1
01010,-1,24,30,40,38,70,15,53,39,34,23,-1
01011,,21,37,39,42,,53,56,60,,27,70
01022,-1,14,46,23,26,62,36,52,43,52,31,-1
01027,-1,14,46,23,26,62,36,52,43,52,31,-1
01030,-1,14,46,23,26,62,36,52,43,52,31,-1
01031,-1,24,30,40,38,70,15,53,39,34,23,-1
01033,-1,24,30,40,38,70,15,53,39,34,23,-1
01036,-1,24,30,40,38,70,15,53,39,34,23,-1
01056,-1,24,30,40,38,70,15,53,39,34,23,-1
01057,-1,24,30,40,38,70,15,53,39,34,23,-1
01069,-1,24,30,40,38,70,15,53,39,34,23,-1
01070,,,,,,,,,,52,38,52
01073,-1,14,46,23,26,62,36,52,43,52,31,-1
01075,-1,24,30,40,38,70,15,53,39,34,23,-1
01080,-1,24,30,40,38,70,15,53,39,34,23,-1
01081,-1,24,30,40,38,70,15,53,39,34,23,-1
01082,-1,24,30,40,38,70,15,53,39,34,23,-1
01090,-1,14,46,23,26,62,36,52,43,52,31,-1
01092,-1,24,30,40,38,70,15,53,39,34,23,-1
01095,-1,24,30,40,38,70,15,53,39,34,23,-1
01199,-1,14,46,23,26,62,36,52,43,52,31,-1
01116,-1,14,46,23,26,62,36,52,43,52,31,-1
01151,-1,14,46,23,26,62,36,52,43,52,31,-1
01203,,21,37,39,42,,53,56,60,,27,70
01220,,,,,,,,,,52,38,52
01222,,21,37,39,42,,53,56,60,,27,70
01223,,21,37,39,42,,53,56,60,,27,70
01224,,21,37,39,42,,53,56,60,,27,70
01225,,,,,,,,,,52,38,52
01227,,21,37,39,42,,53,56,60,,27,70
01230,,21,37,39,42,,53,56,60,,27,70
01257,,21,37,39,42,,53,56,60,,27,70
01236,,21,37,39,42,,53,56,60,,27,70
01237,,,,,,,,,,52,38,52
01238,,21,37,39,42,,53,56,60,,27,70
01240,,21,37,39,42,,53,56,60,,27,70
01245,,21,37,39,42,,53,56,60,,27,70
01247,,,,,,,,,,52,38,52
01253,,21,37,39,42,,53,56,60,,27,70
01254,,21,37,39,42,,53,56,60,,27,70
01255,,21,37,39,42,,53,56,60,,27,70
01256,,,,,,,,,,52,38,52
01258,,21,37,39,42,,53,56,60,,27,70
01259,,21,37,39,42,,53,56,60,,27,70
01266,,21,37,39,42,,53,56,60,,27,70
01267,,,,,,,,,,52,38,52
01270,,,,,,,,,,52,38,52
01343,,,,,,,,,,52,38,52
01366,-1,24,30,40,38,70,15,53,39,34,23,-1
01367,,,,,,,,,,52,38,52
01501,,24,24,19,37,56,23,43,32,40,21,63
01504,,24,24,19,37,56,23,43,32,40,21,63
01505,,24,24,19,37,56,23,43,32,40,21,63
01507,,24,24,19,37,56,23,43,32,40,21,63
01516,,24,24,19,37,56,23,43,32,40,21,63
01519,,24,24,19,37,56,23,43,32,40,21,63
01520,,24,24,19,37,56,23,43,32,40,21,63
01521,-1,24,30,40,38,70,15,53,39,34,23,-1
01522,,24,24,19,37,56,23,43,32,40,21,63
01524,,24,24,19,37,56,23,43,32,40,21,63
01527,,24,24,19,37,56,23,43,32,40,21,63
01529,,24,24,19,37,56,23,43,32,40,21,63
01532,,24,24,19,37,56,23,43,32,40,21,63
01534,,24,24,19,37,56,23,43,32,40,21,63
01536,,24,24,19,37,56,23,43,32,40,21,63
01537,,24,24,19,37,56,23,43,32,40,21,63
01540,,24,24,19,37,56,23,43,32,40,21,63
01542,,24,24,19,37,56,23,43,32,40,21,63
01560,,24,24,19,37,56,23,43,32,40,21,63
01562,,24,24,19,37,56,23,43,32,40,21,63
01564,,24,24,19,37,56,23,43,32,40,21,63
01568,,24,24,19,37,56,23,43,32,40,21,63
01569,,24,24,19,37,56,23,43,32,40,21,63
01570,,24,24,19,37,56,23,43,32,40,21,63
01571,,24,24,19,37,56,23,43,32,40,21,63
01583,,24,24,19,37,56,23,43,32,40,21,63
01585,-1,24,30,40,38,70,15,53,39,34,23,-1
01588,,24,24,19,37,56,23,43,32,40,21,63
01590,,24,24,19,37,56,23,43,32,40,21,63
01611,,24,24,19,37,56,23,43,32,40,21,63
01612,,24,24,19,37,56,23,43,32,40,21,63
01747,,24,24,19,37,56,23,43,32,40,21,63
01756,,24,24,19,37,56,23,43,32,40,21,63
01757,,24,24,19,37,56,23,43,32,40,21,63
01835,,57,22,15,39,63,13,33,37,24,23,45
01826,,57,22,15,39,63,13,33,37,24,23,45
01833,,57,22,15,39,63,13,33,37,24,23,45
01834,,57,22,15,39,63,13,33,37,24,23,45
01843,,57,22,15,39,63,13,33,37,24,23,45
01844,,57,22,15,39,63,13,33,37,24,23,45
01845,,57,22,15,39,63,13,33,37,24,23,45
01860,,57,22,15,39,63,13,33,37,24,23,45
01867,-1,14,16,17,30,63,36,47,57,27,28,31
01876,,57,22,15,39,63,13,33,37,24,23,45
01880,-1,14,16,17,30,63,36,47,57,27,28,31
01885,,57,22,15,39,63,13,33,37,24,23,45
01887,,57,22,15,39,63,13,33,37,24,23,45
01890,-1,14,16,17,30,63,36,47,57,27,28,31
01910,-1,14,16,17,30,63,36,47,57,27,28,31
01906,-1,14,16,17,30,63,36,47,57,27,28,31
01907,-1,14,16,17,30,63,36,47,57,27,28,31
01908,-1,14,16,17,30,63,36,47,57,27,28,31
01913,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
01915,-1,14,16,17,30,63,36,47,57,27,28,31
01921,,57,22,15,39,63,13,33,37,24,23,45
01922,-1,14,16,17,30,63,36,47,57,27,28,31
01923,-1,14,16,17,30,63,36,47,57,27,28,31
01929,-1,14,16,17,30,63,36,47,57,27,28,31
01938,-1,14,16,17,30,63,36,47,57,27,28,31
01940,-1,14,16,17,30,63,36,47,57,27,28,31
01944,-1,14,16,17,30,63,36,47,57,27,28,31
01945,-1,14,16,17,30,63,36,47,57,27,28,31
01949,,57,22,15,39,63,13,33,37,24,23,45
01950,-1,14,16,17,30,63,36,47,57,27,28,31
01951,-1,14,16,17,30,63,36,47,57,27,28,31
01952,-1,14,16,17,30,63,36,47,57,27,28,31
01961,-1,14,16,17,30,63,36,47,57,27,28,31
01966,-1,14,16,17,30,63,36,47,57,27,28,31
01969,-1,14,16,17,30,63,36,47,57,27,28,31
01983,,57,22,15,39,63,13,33,37,24,23,45
01985,-1,14,16,17,30,63,36,47,57,27,28,31
02019,,24,24,19,37,56,23,43,32,40,21,63
02021,,55,22,15,23,44,14,32,17,14,21,14
02025,,55,22,15,23,44,14,32,17,14,21,14
02027,,55,22,15,23,44,14,32,17,14,21,14
02940,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02032,,55,22,15,23,44,14,32,17,14,21,14
02035,,55,22,15,23,44,14,32,17,14,21,14
02045,-1,28,21,-1,49,59,26,49,47,53,46,54
02048,,55,22,15,23,44,14,32,17,14,21,14
02050,,55,22,15,23,44,14,32,17,14,21,14
02061,,55,22,15,23,44,14,32,17,14,21,14
02062,,55,22,15,23,44,14,32,17,14,21,14
02067,,55,22,15,23,44,14,32,17,14,21,14
02071,,55,22,15,23,44,14,32,17,14,21,14
02072,,55,22,15,23,44,14,32,17,14,21,14
02081,,55,22,15,23,44,14,32,17,14,21,14
02090,,55,22,15,23,44,14,32,17,14,21,14
02093,,55,22,15,23,44,14,32,17,14,21,14
02297,-1,28,21,-1,49,59,26,49,47,53,46,54
02126,,55,22,15,23,44,14,32,17,14,21,14
02129,-1,28,21,-1,49,59,26,49,47,53,46,54
02130,-1,28,21,-1,49,59,26,49,47,53,46,54
02131,-1,28,21,-1,49,59,26,49,47,53,46,54
02134,-1,28,21,-1,49,59,26,49,47,53,46,54
02135,-1,28,21,-1,49,59,26,49,47,53,46,54
02136,,55,22,15,23,44,14,32,17,14,21,14
02137,,55,22,15,23,44,14,32,17,14,21,14
02145,-1,28,21,-1,49,59,26,49,47,53,46,54
02446,-1,28,21,-1,49,59,26,49,47,53,46,54
02447,-1,28,21,-1,49,59,26,49,47,53,46,54
02148,-1,14,16,17,30,63,36,47,57,27,28,31
02149,-1,28,21,-1,49,59,26,49,47,53,46,54
02150,-1,28,21,-1,49,59,26,49,47,53,46,54
02151,-1,14,16,17,30,63,36,47,57,27,28,31
02152,-1,28,21,-1,49,59,26,49,47,53,46,54
02155,-1,14,16,17,30,63,36,47,57,27,28,31
02458,-1,28,21,-1,49,59,26,49,47,53,46,54
02476,-1,28,21,-1,49,59,26,49,47,53,46,54
02478,-1,28,21,-1,49,59,26,49,47,53,46,54
02180,-1,14,16,17,30,63,36,47,57,27,28,31
02186,,55,22,15,23,44,14,32,17,14,21,14
02187,,55,22,15,23,44,14,32,17,14,21,14
02322,,55,22,15,23,44,14,32,17,14,21,14
02325,,55,22,15,23,44,14,32,17,14,21,14
02330,,21,31,30,34,60,15,35,47,38,45,38
02332,,55,22,15,23,44,14,32,17,14,21,14
02333,,55,22,15,23,44,14,32,17,14,21,14
02338,,55,22,15,23,44,14,32,17,14,21,14
02339,,55,22,15,23,44,14,32,17,14,21,14
02341,,55,22,15,23,44,14,32,17,14,21,14
02343,,55,22,15,23,44,14,32,17,14,21,14
02347,,21,31,30,34,60,15,35,47,38,45,38
02351,,55,22,15,23,44,14,32,17,14,21,14
02357,,55,22,15,23,44,14,32,17,14,21,14
02359,,55,22,15,23,44,14,32,17,14,21,14
02364,,55,22,15,23,44,14,32,17,14,21,14
02367,,55,22,15,23,44,14,32,17,14,21,14
02368,,55,22,15,23,44,14,32,17,14,21,14
02370,,55,22,15,23,44,14,32,17,14,21,14
02375,,55,22,15,23,44,14,32,17,14,21,14
02379,,55,22,15,23,44,14,32,17,14,21,14
02382,,55,22,15,23,44,14,32,17,14,21,14
02538,,21,31,30,34,60,15,35,47,38,45,38
02571,,21,31,30,34,60,15,35,47,38,45,38
02576,,21,31,30,34,60,15,35,47,38,45,38
02702,,21,31,30,34,60,15,35,47,38,45,38
02703,,55,22,15,23,44,14,32,17,14,21,14
02714,,21,31,30,34,60,15,35,47,38,45,38
02715,,21,31,30,34,60,15,35,47,38,45,38
02717,,21,31,30,34,60,15,35,47,38,45,38
02718,,55,22,15,23,44,14,32,17,14,21,14
02719,,21,31,30,34,60,15,35,47,38,45,38
02724,,21,31,30,34,60,15,35,47,38,45,38
02726,,21,31,30,34,60,15,35,47,38,45,38
02738,,21,31,30,34,60,15,35,47,38,45,38
02739,,21,31,30,34,60,15,35,47,38,45,38
02746,,21,31,30,34,60,15,35,47,38,45,38
02743,,21,31,30,34,60,15,35,47,38,45,38
02747,,21,31,30,34,60,15,35,47,38,45,38
02748,,21,31,30,34,60,15,35,47,38,45,38
02762,,55,22,15,23,44,14,32,17,14,21,14
02763,,55,22,15,23,44,14,32,17,14,21,14
02764,,21,31,30,34,60,15,35,47,38,45,38
02766,,55,22,15,23,44,14,32,17,14,21,14
02767,,55,22,15,23,44,14,32,17,14,21,14
02769,,21,31,30,34,60,15,35,47,38,45,38
02770,,21,31,30,34,60,15,35,47,38,45,38
02771,,21,31,30,34,60,15,35,47,38,45,38
02777,,21,31,30,34,60,15,35,47,38,45,38
02779,,21,31,30,34,60,15,35,47,38,45,38
02790,,21,31,30,34,60,15,35,47,38,45,38
02804,42,15,34,28,30,66,27,3,8,18,-1,61
02825,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02806,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02808,42,15,34,28,30,66,27,3,8,18,-1,61
02809,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02812,42,15,34,28,30,66,27,3,8,18,-1,61
02813,42,15,34,28,30,66,27,3,8,18,-1,61
02814,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02815,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02816,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02817,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02818,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02822,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02827,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02828,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02830,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02831,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02832,42,15,34,28,30,66,27,3,8,18,-1,61
02833,42,15,34,28,30,66,27,3,8,18,-1,61
02835,42,15,34,28,30,66,27,3,8,18,-1,61
02836,42,15,34,28,30,66,27,3,8,18,-1,61
02837,,21,31,30,34,60,15,35,47,38,45,38
02838,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02839,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02841,42,15,34,28,30,66,27,3,8,18,-1,61
02842,42,15,34,28,30,66,27,3,8,18,-1,61
02857,-1,-1,19,16,18,50,7,-1,,-1,-1,13
02858,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02859,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02863,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02864,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02865,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02871,42,15,34,28,30,66,27,3,8,18,-1,61
02872,42,15,34,28,30,66,27,3,8,18,-1,61
02874,42,15,34,28,30,66,27,3,8,18,-1,61
02878,,21,31,30,34,60,15,35,47,38,45,38
02881,42,15,34,28,30,66,27,3,8,18,-1,61
02882,42,15,34,28,30,66,27,3,8,18,-1,61
02885,,21,31,30,34,60,15,35,47,38,45,38
02889,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02891,42,15,34,28,30,66,27,3,8,18,-1,61
02892,42,15,34,28,30,66,27,3,8,18,-1,61
02893,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02894,42,15,34,28,30,66,27,3,8,18,-1,61
02895,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02896,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02898,42,15,34,28,30,66,27,3,8,18,-1,61
02921,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02911,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02914,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02915,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02916,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02917,-1,-1,34,28,30,66,27,-1,-1,,-1,61
02919,-1,-1,34,28,30,66,27,-1,-1,,-1,61
03044,35,25,22,28,41,64,7,36,27,40,35,65
03032,35,25,22,28,41,64,7,36,27,40,35,65
03034,35,25,22,28,41,64,7,36,27,40,35,65
03036,35,25,22,28,41,64,7,36,27,40,35,65
03037,35,25,22,28,41,64,7,36,27,40,35,65
03038,35,25,22,28,41,64,7,36,27,40,35,65
03041,35,25,22,28,41,64,7,36,27,40,35,65
03042,35,25,22,28,41,64,7,36,27,40,35,65
03053,35,25,22,28,41,64,7,36,27,40,35,65
03077,35,25,22,28,41,64,7,36,27,40,35,65
03079,35,25,22,28,41,64,7,36,27,40,35,65
03087,35,25,22,28,41,64,7,36,27,40,35,65
03222,19,1,15,15,-1,58,43,37,19,26,-1,39
03223,19,1,15,15,-1,58,43,37,19,26,-1,39
03240,19,1,15,15,-1,58,43,37,19,26,-1,39
03241,19,1,15,15,-1,58,43,37,19,26,-1,39
03251,19,1,15,15,-1,58,43,37,19,26,-1,39
03261,35,25,22,28,41,64,7,36,27,40,35,65
03262,19,1,15,15,-1,58,43,37,19,26,-1,39
03264,19,1,15,15,-1,58,43,37,19,26,-1,39
03266,19,1,15,15,-1,58,43,37,19,26,-1,39
03279,19,1,15,15,-1,58,43,37,19,26,-1,39
03282,19,1,15,15,-1,58,43,37,19,26,-1,39
03290,35,25,22,28,41,64,7,36,27,40,35,65
03291,35,25,22,28,41,64,7,36,27,40,35,65
03435,31,13,40,18,32,59,20,36,17,20,22,65
03450,31,13,40,18,32,59,20,36,17,20,22,65
03441,31,13,40,18,32,59,20,36,17,20,22,65
03443,31,13,40,18,32,59,20,36,17,20,22,65
03444,31,13,40,18,32,59,20,36,17,20,22,65
03445,31,13,40,18,32,59,20,36,17,20,22,65
03446,31,13,40,18,32,59,20,36,17,20,22,65
03448,31,13,40,18,32,59,20,36,17,20,22,65
03451,31,13,40,18,32,59,20,36,17,20,22,65
03452,31,13,40,18,32,59,20,36,17,20,22,65
03455,31,13,40,18,32,59,20,36,17,20,22,65
03456,31,13,40,18,32,59,20,36,17,20,22,65
03457,31,13,40,18,32,59,20,36,17,20,22,65
03461,31,13,40,18,32,59,20,36,17,20,22,65
03462,31,13,40,18,32,59,20,36,17,20,22,65
03464,31,13,40,18,32,59,20,36,17,20,22,65
03465,31,13,40,18,32,59,20,36,17,20,22,65
03466,31,13,40,18,32,59,20,36,17,20,22,65
03467,31,13,40,18,32,59,20,36,17,20,22,65
03470,31,13,40,18,32,59,20,36,17,20,22,65
03561,19,1,15,15,-1,58,43,37,19,26,-1,39
03574,19,1,15,15,-1,58,43,37,19,26,-1,39
03580,19,1,15,15,-1,58,43,37,19,26,-1,39
03585,19,1,15,15,-1,58,43,37,19,26,-1,39
03602,31,13,40,18,32,59,20,36,17,20,22,65
03608,31,13,40,18,32,59,20,36,17,20,22,65
03748,19,1,15,15,-1,58,43,37,19,26,-1,39
03768,19,1,15,15,-1,58,43,37,19,26,-1,39
03740,19,1,15,15,-1,58,43,37,19,26,-1,39
03741,19,1,15,15,-1,58,43,37,19,26,-1,39
03750,19,1,15,15,-1,58,43,37,19,26,-1,39
03755,19,1,15,15,-1,58,43,37,19,26,-1,39
03766,19,1,15,15,-1,58,43,37,19,26,-1,39
03765,19,1,15,15,-1,58,43,37,19,26,-1,39
03771,19,1,15,15,-1,58,43,37,19,26,-1,39
03774,19,1,15,15,-1,58,43,37,19,26,-1,39
03777,19,1,15,15,-1,58,43,37,19,26,-1,39
03779,19,1,15,15,-1,58,43,37,19,26,-1,39
03780,19,1,15,15,-1,58,43,37,19,26,-1,39
03784,19,1,15,15,-1,58,43,37,19,26,-1,39
03785,19,1,15,15,-1,58,43,37,19,26,-1,39
03869,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03811,35,25,22,28,41,64,7,36,27,40,35,65
03824,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03826,35,25,22,28,41,64,7,36,27,40,35,65
03827,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03833,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03840,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03841,35,25,22,28,41,64,7,36,27,40,35,65
03844,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03848,35,25,22,28,41,64,7,36,27,40,35,65
03856,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03857,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03858,35,25,22,28,41,64,7,36,27,40,35,65
03862,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03865,35,25,22,28,41,64,7,36,27,40,35,65
03870,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03873,35,25,22,28,41,64,7,36,27,40,35,65
03874,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03878,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
03885,-1,-1,-1,-1,-1,-1,-1,-1,,34,23,-1
04003,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04008,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04011,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04013,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04015,,,,,,,,,,32,30,44
04017,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04019,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04021,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04071,,,,,,,,,,32,30,44
04039,,,,,,,,,,32,30,44
04050,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04055,,,,,,,,,,32,30,44
04064,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04066,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04069,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04074,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04072,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04079,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04086,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04098,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04096,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04097,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04124,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04105,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04116,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04107,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04108,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04110,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04212,,,,,,,,,,32,30,44
04222,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04236,,,,,,,,,,32,30,44
04243,,,,,,,,,,32,30,44
04250,,,,,,,,,,32,30,44
04252,,,,,,,,,,32,30,44
04256,,,,,,,,,,32,30,44
04258,,,,,,,,,,32,30,44
04260,,,,,,,,,,32,30,44
04266,,,,,,,,,,32,30,44
04280,,,,,,,,,,32,30,44
04282,,,,,,,,,,32,30,44
04287,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04291,,,,,,,,,,32,30,44
04342,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04348,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04402,38,23,14,13,36,59,54,23,18,19,25,38
04412,38,23,14,13,36,59,54,23,18,19,25,38
04416,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04419,38,23,14,13,36,59,54,23,18,19,25,38
04421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04434,38,23,14,13,36,59,54,23,18,19,25,38
04438,38,23,14,13,36,59,54,23,18,19,25,38
04444,38,23,14,13,36,59,54,23,18,19,25,38
04450,38,23,14,13,36,59,54,23,18,19,25,38
04456,38,23,14,13,36,59,54,23,18,19,25,38
04472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04474,38,23,14,13,36,59,54,23,18,19,25,38
04476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04488,38,23,14,13,36,59,54,23,18,19,25,38
04496,38,23,14,13,36,59,54,23,18,19,25,38
04530,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04535,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04537,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04538,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04539,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04541,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04543,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04544,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04548,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04549,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04553,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04554,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04555,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04556,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04558,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04562,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04564,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04565,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04567,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04568,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04570,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04571,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04573,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04576,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04578,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04579,,,-1,-1,-1,-1,-1,-1,-1,32,30,44
04693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04607,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04613,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
